Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Schoolpage Tutorials                  ,N/A,N/A,Adipur,Ahmedabad 382345,Delhi, 382345,India,https://www.myprivatetutor.com/userfiles/centers/center1407740142.jpg,"Chemistry, English, Mathematics, Physics, IELTS, Spoken English, TOEFL, French, German, Hindi, Spanish","
	School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world.While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayer’s ‘Cognitive Theory of Multimedia Learning’. The STS is a highly structured academic system. Through the use of a 9-stage lesson organizational structure, STS is used in every SchoolPage session ensuring better engagement, superior retention and rapid results. STS includes the use of cognitive tools such as Mind Mapping, self-diagnosis tools such as Comfort Boxes, and Learning Outcomes that are highly student centric.
	    "
Infobit Technologies                  ,N/A,N/A,Ashram Road,"26/a, 1st Floor, Ajanta Comm. Centre,
Above Oshval Restaurant,
Opp. Kalupur Comm. Bank,
Income Tax Crossroad, Ashram Road",Delhi, 380014,India,https://www.myprivatetutor.com/userfiles/centers/center1472817907.jpg,Android Training,"
	Infobit Technologies is a leader in the high end latest technologies IT education industry and ITES. Established in the year 1999, Infobit has providing Training on major global software vendors including Microsoft, Sun Microsystems, Oracle, Cisco. many others to deliver a comprehensive offering of courses. Information Technology is fast becoming the nerve center of any organization and from a global perspective, India has enormous strengths in terms of its skilled workforce, robust education system and responsive markets. As part of the globalization process, companies the world over are integrating themselves with the world economy; they are increasingly using the latest technologies to improve quality, enhance employee productivity as well as increase customer satisfaction."
Rnt Classes                  ,N/A,N/A,Ahmedabad University,"C-103, Belveder, Godrej Garden City, Jagatpur, Ahmedabad, India, 382470",Delhi, 382470,India,,"Chemistry, Mathematics, Physics, AIEEE, CET, IIT JEE Mains","
	The institute RNT classes has established keeping the view of providing high quality education & training to clear the concept in the subjects to crash/top the prestigious competitive exams of india & abroad and to get rank in 12th exam or class room exams. Keeping the vision, the institute has been started by er. Madhav kishore (b.tech-mechanical engineering) Madhav kishore has qualified AIEEE-all india engineering entrance examination, Qualified GATE conducted by IITs for m.tech program Madhav kishore is having rich experience of more than 3 years of tutoring student of iit jee & state boards. The basic strategy that he has followed to teach the students are: - systematic contents - fixed program - daily practice set (dps) - key notes - regular exams - doubt clearing session - quick review of topics The institute has just been started, till date Er. Madhav kishore was teaching students in different coaching centres in bangalore, delhi, at home. Now he has set to launched his own coaching centre in ahmedabad."
Shine Academy                  ,N/A,N/A,Akhbarnagar,"A/63, Bhaktinagar Society, Nr. Nakshatra Mall, I.O.C.Road, Chandkheda,",Delhi, 382424,India,,"Business English, Corporate Communication, Effective Communication, IELTS, Public Speaking, Spoken English, TOEFL, GRE, PTE, SAT","
	We have been educating students for last 16 years in the field of IELTS, TOEFL, Spoken English, PTE and GRE. Even we provide assistance and consultation for Student Visa, P.R. and Tourist visa."
Irise Learning & Performance Enhancers                  ,N/A,N/A,Chandkheda,"IRise Learning & Performance Enhancers
E2 - 205 (2nd Floor), Aaron Elegance,
Above Indian Bank,
New CG Road,
Chandkheda",Delhi, 382424,India,,"Corporate Communication, IELTS, Public Speaking, Spoken English, TOEFL","IRise Learning & Performance Enhancers
E2 - 205 (2nd Floor), Aaron Elegance,
Above Indian Bank,
New CG Road,
Chandkheda"
Wing Chun Kung Fu Academy                  ,N/A,N/A,Anand Nagar,"C/202, Popular Paradise, Sarkhej Gandhinagar Highway, Ahmedabad - 380055, Near Gota Cross Road, Behind Vishwas City 5",Delhi, 380055,India,,"Boxing, Karate, Kung Fu","
	Wing Chun is a Chinese Kung Fu style developed 300 years ago by a lady warrior monk - to defeat bigger, stronger opponents No fancy move but a graceful fighting art Simple & effective - can be used by males and females of all ages and sizes Emphasizes superiority of technique & skill rather than brute strength Surprisingly simple & easy to learn in a very short time Minimum energy spent for maximum output Simultaneous attack & defence Practical real life situation training Building natural reflection no brutal force of body conditioning require No high kicks and no flying kicks Practical Kicks which can be applicable to fight and can be practice by all age."
Biology Institute                  ,N/A,N/A,Maninagar,"Maninagar East, Ahmedabad, 380008",Delhi, 380008,India,,Biology,"
	Biology Institute as an institute is located in Ahmedabad. We cater in biology education for school level and higher education. We provide not only theoretical education but also the practical knowledge to the students."
Pranshi Career Academy                  ,N/A,N/A,Ghatlodia,"144, ARATI SOCIETY, NR. SWAMINARAYAN TEMPLE, K  K NAGAR ROAD, GHATLODIA, AHMEDABAD - 380061",Delhi, 380061,India,,"IBPS, Insurance Exams, Police Department Exam, Railways Exams, SSC Exams","
	Pranshi Career Academy has emerged as one of the most reputed competitive exam training institute. Banking sector in India has always been one of the most preferred destinations for employment. In this decade, this sector has emerged as a sunrise sector in the Indian economy. The Banking Industry is recruiting in a big way. We provide an interactive and collaborative educational environment that strengthens learning, provides credentialing opportunities, and contributes to educational and professional grow."
Uni Education Services                  ,N/A,N/A,Vastrapur,"C2-Sutirth Apartment Basement, Opp. Sanjeevani Hospital, Vastrapur Lake, Vastrapur, Ahmedabad, 380015",Delhi, 380015,India,,"French, Latin, Spanish","U'n'I Education Services is promised to provide Spanish language services to corporate, schools, language institutions and direct students offering set of services i.e. corporate training in Spanish language, interpretation and translation services, specially designed courses for schools to learn Spanish and 3 different courses for learning Spanish to direct students."
Brain Academy                  ,N/A,N/A,Prahlad Nagar,"F-2, Sarjan-2, Above TVS Showroom, Opposite To Madhur Hall, Anandnagar Cross Road, Satellite, Ahmedabad",Delhi, 380015,India,,Arts & Crafts,"
	Brain Academy is one of the finest institute in Ahmedabad. At Brain Academy all activities done at one center."
